C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_18_737.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_18_737.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_18_737.jpg, 0, 0, 0, 7.824263E-05
C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_18_840.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_18_840.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_18_840.jpg, 0, 0, 0, 7.926886E-05
C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_18_941.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_18_941.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_18_941.jpg, 0, 0, 0, 7.813869E-05
C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_19_044.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_19_044.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_19_044.jpg, 0, 0, 0, 7.771495E-05
C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_19_147.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_19_147.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_19_147.jpg, 0, 0, 0, 7.848437E-05
C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_19_248.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_19_248.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_19_248.jpg, 0, 0, 0, 7.994191E-05
C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_19_349.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_19_349.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_19_349.jpg, 0, 0, 0, 7.786472E-05
C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_19_452.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_19_452.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_19_452.jpg, 0, 0, 0, 7.792821E-05
C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_19_553.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_19_553.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_19_553.jpg, 0, 0, 0, 7.897664E-05
C:\Users\User\Desktop\Data\IMG\center_2023_02_21_10_34_19_653.jpg, C:\Users\User\Desktop\Data\IMG\left_2023_02_21_10_34_19_653.jpg, C:\Users\User\Desktop\Data\IMG\right_2023_02_21_10_34_19_653.jpg, 0, 0, 0, 7.805188E-05
